Haiducul numÄƒrul,Identificator,Zis È™i
0,RoBOToS#9421,RoBOToS
1,ğ™‚ğ™šğ™¤ğ™§ğ™œğ™š#7355,ğ™‚ğ™šğ™¤ğ™§ğ™œğ™š
2,sall  eu is foby#5123,sall  eu is foby
3,Howdy Fish!#0620,Bogdan
4,nitsui#9744,nitsui
5,Kharol#9930,Kharol
6,ÑˆĞ°Ñ…Ñ‚Ğ°Ñ€58008#7883,ÑˆĞ°Ñ…Ñ‚Ğ°Ñ€58008
7,mnu#2892,mnu
8,velescu#9041,velescu
9,Mihnea#2965,Mihnea
10,_Matteo_#4764,_Matteo_
11,tdrcrz#1490,tdrcrz
12,SystemNotLoaded#9986,Mihai
13,phyphyMaiThai#9596,Bob
14,Rob_#4342,Rob_
15,Ciprian#2079,Ciprian
16,philippe#0703,philippe
17,eucodez#6067,eucodez
18,Irina_18#2341,Irina_18
19,Anitsirc#0023,Anitsirc
